system:index,EVI,month,year,.geo
0,0.07240270680147061,1.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.08164335937500007,2.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.08646172334558823,3.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.13234584558823526,4.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.38259063419117656,5.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.40935630514705873,6.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.36448531249999994,7.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.3258563419117646,8.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2310563143382355,9.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.1585884742647059,10.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.08349953584558824,11.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.07219152573529415,12.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.07098352941176472,1.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.07939190716911763,2.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.09255567095588232,3.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.1762629963235294,4.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.3785360477941175,5.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.40292404411764665,6.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.427698717830883,7.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.37873329503676484,8.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.2802554595588237,9.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.12086316176470599,10.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.09264892463235296,11.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.07459621783088238,12.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.07433589613970591,1.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.08166861213235299,2.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.08629801011029413,3.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.1619528860294118,4.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.38645499540441225,5.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.3956846369485295,6.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.42954136948529376,7.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.4029856709558827,8.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.24759250459558824,9.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.1297685845588235,10.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.09317500459558817,11.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.07787477481617645,12.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.07690447610294115,1.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.08245390624999996,2.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.08743216452205882,3.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.09761081801470595,4.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.2269974080882352,5.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.4231264797794117,6.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.44771041360294084,7.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.41013815716911745,8.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.2629136810661762,9.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.12047440257352945,10.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.098856640625,11.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.07904329044117644,12.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.08114797794117651,1.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.07522369944852945,2.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.09182806066176472,3.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.12778615808823532,4.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.305693088235294,5.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.37282461397058825,6.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.4087591222426471,7.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.3837975137867645,8.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.31755927849264703,9.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.19934811580882345,10.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.10242809742647055,11.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.08132011488970588,12.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.07740559742647062,1.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.08525697610294125,2.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.08591773437500004,3.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.18921641544117654,4.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.3924619255514703,5.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.4307040808823531,6.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.45085624080882325,7.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.40222119944852963,8.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.3109101424632353,9.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.13897390165441195,10.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.09294687500000003,11.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.08688636488970587,12.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.0861454963235294,1.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.0871048161764706,2.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.09304591452205876,3.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.16459849724264705,4.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.33999334099264694,5.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.36861667279411786,6.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.42297642922794154,7.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.4007783042279408,8.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.27658435661764696,9.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.11725702205882362,10.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.08168859834558824,11.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.07823503216911765,12.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.06329422334558825,1.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.07801480238970583,2.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.0783502205882353,3.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.0931967509191176,4.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.3506796645220588,5.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.4649839751838235,6.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.3888515073529414,7.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.4016435845588235,8.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.32849412683823515,9.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.16066125,10.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.10239838235294117,11.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.08296104779411766,12.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.08248756893382359,1.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.08631736213235287,2.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.09279641084558828,3.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.1475805376838235,4.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.35869669577205915,5.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.424204159007353,6.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.45535583639705907,7.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.3926033915441179,8.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.2951918704044117,9.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.15601034926470594,10.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.09558315257352937,11.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,0.08743275735294119,12.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0.08210104319852943,1.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0.08171427849264705,2.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0.0889795680147059,3.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,0.14819548253676482,4.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0.3973181250000002,5.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.410517895220588,6.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,0.48466084558823513,7.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,0.45150830422794114,8.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,0.3592602435661766,9.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,0.14948066636029406,10.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,0.08960557904411766,11.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,0.08229109374999999,12.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,0.08162063878676466,1.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,0.08722793658088236,2.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,0.09612211397058823,3.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,0.11808638327205885,4.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,0.3929567187500001,5.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,0.4803372334558824,6.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,0.5175439981617647,7.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,0.45196982996323554,8.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,0.32657593749999997,9.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,0.17929730698529403,10.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,0.11210354319852947,11.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,0.094726796875,12.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,0.09184834558823529,1.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,0.09692388786764708,2.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,0.10748793198529415,3.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,0.17053419117647056,4.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,0.31750353860294117,5.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,0.438163129595588,6.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,0.44760319852941194,7.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,0.38330687040441186,8.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,0.3099919990808822,9.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,0.1753583272058824,10.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,0.10023356617647067,11.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,0.08607928768382354,12.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,0.0895048529411764,1.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,0.08864403492647062,2.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,0.096757421875,3.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,0.15983133272058825,4.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,0.35142907169117654,5.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,0.38026125459558807,6.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,0.4296346966911768,7.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,0.4155875459558827,8.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,0.366447541360294,9.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,0.17433686580882365,10.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,0.10816285845588232,11.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,0.08918918198529409,12.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,0.07962395220588238,1.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,0.08766695772058826,2.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,0.0945725459558824,3.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,0.2230478125000001,4.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,0.39621096047794124,5.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,0.4488872472426474,6.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,0.4677249862132356,7.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,0.4278165533088236,8.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,0.33165142003676457,9.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,0.1605601792279413,10.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,0.10201759191176477,11.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,0.09326903952205887,12.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,0.08614955882352943,1.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,0.09693743106617646,2.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,0.11347818014705886,3.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,0.2684565487132353,4.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,0.43135374080882405,5.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,0.4704745588235292,6.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,0.4842803630514709,7.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,0.45887420955882335,8.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,0.3061610110294119,9.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,0.14464452205882353,10.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,0.10349398437500001,11.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,0.0884238189338235,12.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,0.08597581341911767,1.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,0.09669344209558821,2.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,0.0982237545955883,3.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,0.22995904411764695,4.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,0.43865254595588254,5.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,0.4755975045955879,6.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,0.4939320358455883,7.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,0.44874416360294117,8.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,0.33270717830882374,9.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,0.16745559742647073,10.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,0.11418448069852936,11.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,0.09908867647058832,12.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,0.09828699448529409,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,0.10590137867647056,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,0.11246999999999992,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,0.20372949908088228,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,0.4518292233455879,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,0.43135421874999985,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,0.5113943566176468,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,0.46331704963235276,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,0.37214173253676464,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,0.23739806066176458,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,0.11355100183823524,11.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,0.10178387408088234,12.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,0.09711609374999994,1.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,0.10730419117647061,2.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,0.1106487499999999,3.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,0.21547852941176446,4.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,0.36496920036764735,5.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,0.4368776240808823,6.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,0.4857265533088241,7.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,0.4469682215073529,8.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,0.3525470634191177,9.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,0.15435230238970576,10.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,0.10467503676470583,11.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,0.09644558823529416,12.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,0.09156702665441172,1.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,0.0972059788602941,2.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,0.11045047794117646,3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,0.2065516130514706,4.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,0.40384204503676463,5.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,0.4675734237132353,6.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,0.48132768841911727,7.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,0.48371648897058833,8.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,0.35356357077205874,9.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,0.2339658272058822,10.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,0.1184654090073529,11.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,0.09776619944852939,12.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,0.09506492647058826,1.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,0.10372795496323528,2.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,0.11298059742647064,3.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,0.26866182444852926,4.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,0.47358846966911766,5.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,0.5291846139705884,6.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,0.5452128262867649,7.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,0.4579569025735291,8.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,0.32415334099264714,9.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,0.16650319852941173,10.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,0.1243052803308824,11.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,0.10452867647058815,12.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,0.10306779871323539,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,0.11438834558823535,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,0.10898579503676467,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,0.16810466452205883,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,0.3634884512867646,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,0.39673156249999997,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,0.4793734466911763,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,0.47285752297794054,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,0.3732508501838234,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,0.21097726102941178,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,0.13561804227941177,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,0.08283812500000003,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
