system:index,GPP,month,year,.geo
0,,1.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,,2.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,,3.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,,4.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,5.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,,6.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,,7.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,8.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,,9.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,,10.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,,11.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,,12.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,,1.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,,2.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,,3.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,4.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,5.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,6.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,7.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,8.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,9.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,10.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,11.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,12.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,1.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,2.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,3.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,4.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,5.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,6.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,7.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,8.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,9.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,10.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,11.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,,12.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,,1.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,,2.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,,3.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,4.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,,5.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,,6.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,,7.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,,8.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,,9.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,,10.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,,11.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,,12.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,,1.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,,2.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,,3.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,,4.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,,5.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,,6.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,,7.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,,8.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,,9.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,,10.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,,11.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,,12.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,,1.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,,2.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,,3.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,,4.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,,5.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,,6.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,,7.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,,8.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,,9.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,,10.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,,11.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,,12.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,,1.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,2.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,,3.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,,4.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,5.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,,6.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,,7.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,,8.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,,9.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,,10.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,11.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,12.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,,1.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,2.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,,3.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,,4.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,5.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,,6.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,7.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,,8.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,,9.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,10.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,,11.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,,12.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,,1.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,,2.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,,3.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,,4.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,,5.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,,6.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,,7.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,,8.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,,9.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,,10.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,11.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,,12.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,,1.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,,2.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,,3.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,,4.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,,5.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,,6.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,,7.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,,8.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,,9.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,,10.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,,11.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,,12.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,,1.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,,2.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,,3.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,,4.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,,5.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,,6.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,,7.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,,8.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,,9.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,,10.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,,11.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,,12.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,,1.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,,2.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,,3.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,,4.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,,5.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,,6.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,,7.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,,8.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,,9.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,,10.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,,11.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,,12.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,,1.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,,2.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,,3.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,,4.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,,5.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,,6.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,,7.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,,8.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,,9.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,,10.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,,11.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,,12.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,,1.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,,2.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,,3.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,,4.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,,5.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,,6.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,,7.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,,8.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,,9.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,,10.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,,11.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,,12.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,,1.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,,2.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,,3.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,,4.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,,5.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,,6.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,,7.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,,8.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,,9.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,,10.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,,11.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,,12.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,,1.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,,2.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,,3.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,,4.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,,5.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,,6.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,,7.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,,8.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,,9.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,,10.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,,11.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,,12.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,,11.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,,12.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,,1.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,,2.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,,3.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,,4.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,,5.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,,6.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,,7.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,,8.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,,9.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,,10.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,,11.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,,12.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,3.2374987671367996E-5,1.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,0.0017212627806818556,2.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,0.0049661537955748404,3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,0.013795751279438028,4.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,0.03763414209159351,5.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,0.04477221455107339,6.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,0.05280104464608613,7.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,0.05328924039188616,8.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,0.0345377420521419,9.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,0.013184690578733374,10.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,0.0020201195055396634,11.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,3.5429200775881933E-4,12.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,0.0,1.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,0.0,2.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,0.0,3.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,0.0,4.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,0.0,5.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,0.0,6.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,0.0,7.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,0.0,8.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,0.0,9.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,0.0,10.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,0.0,11.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,0.0,12.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,1.8596672913173546E-4,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,0.0014429167899529874,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,0.005226813130815,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,0.012453152294221434,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,0.030900784100996156,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,0.026014932439096517,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,0.03566200890949137,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,0.05551776473682477,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,0.04026342505835553,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,0.021297663587248338,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,0.0020441167768024465,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,3.2311125357530334E-4,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
