system:index,mean_ndvi,veg_type_id,year,.geo
0,0.5240108087211731,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5441070997654431,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.478028300335739,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5013694390588678,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.44860418273651165,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.40427906105773986,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.43754202898550726,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.36879483510753897,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.30525588237002604,13,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.19155573122529646,17,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5326967839360645,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5431676039819945,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.4924171567356102,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.508696440933489,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.45852499759878346,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.42574151794346865,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.4518202898550725,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.37881837508560445,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.31026844230660783,13,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.1879102766798419,17,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.5203048197543934,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.537500574487048,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.4796742446351395,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.49566294723025484,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.4433877067670567,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.413603427588153,10,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.44239710144927535,11,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.37394193067275955,12,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.29831940686146374,13,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.1940387351778656,17,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.49839027753693144,4,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.5143473370248934,5,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.4499765413573566,6,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.46739994737149937,8,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.42070679986973136,9,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.3886193063870128,10,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.4184985507246377,11,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.3650031851532224,12,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.2871610386929015,13,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.17923557312252966,17,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.5237369947396017,4,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.5394939064314874,5,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.4746940705061573,6,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.49741678568152853,8,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.44832230793872235,9,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.40737374159760703,10,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.46394782608695656,11,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.3796527589678712,12,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.31491810681892324,13,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.20715019762845852,17,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.5344701805035793,4,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.5442224755388532,5,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.49841779715351975,6,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.513830932036819,8,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.47309595623551265,9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.43977499647789153,10,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.4854521739130435,11,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.40346761547048754,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.3347272113792799,13,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.23110276679841898,17,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.5216522008933177,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.5378830235135893,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.46995786538083917,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.492146545123421,8,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.43854082821953366,9,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.3986758982802071,10,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.457208695652174,11,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.3567809560117875,12,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.3051738423564941,13,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.21939209486166014,17,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.5064973257060348,4,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.5207713843191255,5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.4729787440430327,6,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.4850952372632271,8,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.44702366319978226,9,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.4153351609226198,10,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.45240869565217395,11,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.35276115600426894,12,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.2965732576833119,13,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.2100565217391304,17,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.5328048330180187,4,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.5521383961177482,5,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.4908342531692973,6,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.5142214544347646,8,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.4663478775598534,9,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.42475580318628176,10,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.4767347826086956,11,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.36808722359244384,12,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.31781055911481876,13,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.2411774703557312,17,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.5416706471214029,4,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.5617877621871373,5,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.5012010905688936,6,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.5277916386011201,8,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.47865109211873647,9,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.4317949126980708,10,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.48216086956521736,11,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.36860459961459413,12,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.3218620871154074,13,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.25090632411067193,17,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.5477744456522368,4,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.5663534471636006,5,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.5066964930928457,6,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.5303822514718632,8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.4821645417195908,9,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.4436968787689379,10,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.48486956521739133,11,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,0.3801611093404466,12,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0.32903526901202157,13,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0.2632233201581028,17,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0.544587332584496,4,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,0.5642734917905143,5,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0.4915095368237996,6,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.5146053619653229,8,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,0.4612322775677414,9,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,0.4228653550095338,10,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,0.4538637681159421,11,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,0.36232386270212114,12,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,0.310413488554261,13,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,0.24524980237154156,17,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,0.5538609302708369,4,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,0.5786838225830839,5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,0.504157847347693,6,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,0.5294970690462145,8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,0.48055487431861266,9,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,0.43609654679651816,10,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,0.4719159420289855,11,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,0.37026320177567684,12,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,0.3197223574856446,13,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,0.2594782608695652,17,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,0.572790380046878,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,0.5936392550329955,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,0.5307098907329154,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,0.5596421394882524,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,0.5054673787785845,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,0.46528001703163074,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,0.5155144927536233,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,0.4057144949601434,12,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,0.34621313329984693,13,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,0.2622806324110672,17,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,0.574462742328554,4,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,0.5969940429345013,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,0.5288328061988081,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,0.5596976776177289,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,0.5056490363742863,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,0.46354798164732913,10,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,0.5171594202898552,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,0.4120977245052893,12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,0.36164808605275217,13,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,0.27601897233201583,17,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,0.5566125324386223,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,0.572585089237739,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,0.5185872891471477,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,0.5404123160547958,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,0.5013004125240588,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,0.469343234441702,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,0.5107159420289856,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,0.40528574064721345,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,0.3611024932302787,13,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,0.2758691699604743,17,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,0.573789175875909,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,0.5911625865108964,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,0.532644816469661,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,0.5591249353201337,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,0.5093929388748022,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,0.46952589075106577,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,0.49437826086956527,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,0.39976800626978704,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,0.35912049996839346,13,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,0.271006324110672,17,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,0.578373028457899,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,0.602296628850157,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,0.5339966257341041,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,0.5656227338343515,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,0.5154908549820297,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,0.4746007586245892,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,0.514340579710145,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,0.43127577060685846,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,0.3800685262511383,13,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,0.27547628458498025,17,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,0.5553941066219207,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,0.5819813087397322,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,0.523678698259515,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,0.552081231256035,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,0.5095104741881306,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,0.47532075171073224,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,0.5320521739130436,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,0.4329159114645901,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,0.38661927244087546,13,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,0.25915217391304346,17,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,0.5749362016403098,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,0.5909113931351132,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,0.5387822583701952,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,0.5647444996252228,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,0.5218036946314581,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,0.4880216440656032,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,0.5343507246376812,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,0.4330465139427576,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,0.3909003093057383,13,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,0.28091581027667983,17,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,0.5517840636422414,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,0.5703453857637893,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,0.5045098497620668,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,0.5329576171466756,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,0.48414588643768836,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,0.44937498018734007,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,0.5138652173913044,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,0.4075945580666302,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,0.3665651924479818,13,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,0.2600521739130435,17,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
